N_N, Type_Host,Type_Loc,Type_Dir_cluster,Type_Dir,Type_NS,P_of_Sp,P_of_Sp_cluster,Host_Lemma,Host_Trans,
1,geo,,,lat,transformation_result,n,n,кьи́ри,мост,
2,location_pp,,,,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
3,location_pp,,,,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
4,building_хозпостройки,in_room,motion towards (lat__term),lat ,,n,n,бе́кьи,хлев_ сарай,
5,location_pp,near,motion towards (lat__term),lat ,,adv,adv,векьа́ру,рядом_ около_ поблизости,
6,building_part,near,motion towards (lat__term),lat ,,n,n,бекьа́р,противоположная входу стена (комнаты_ огорода),
7,building_part,near,motion towards (lat__term),lat ,,n,n,бекьа́р,противоположная входу стена (комнаты_ огорода),
8,location_pp,near,absence of movement,ess,,adv,adv,векьа́ру>бекьараду,рядом_ около_ поблизости>поблизости,
9,location_pp,unspecified,source,source,,adv,adv,векьа́ру>бекьараду,рядом_ около_ поблизости>поблизости,
10,location_pp,unspecified,absence of movement,ess,,adv,adv,векьа́ру>бекьараду,рядом_ около_ поблизости>поблизости,
11,building_хозпостройки,in_room,motion towards (lat__term),lat ,,n,n,бе́кьи,хлев_ сарай,
12,building_хозпостройки,in_room,motion towards (lat__term),lat ,,n,n,бе́кьи,хлев_ сарай,
13,location_pp,near,motion towards (lat__term),lat,,adv,adv,векьа́ру>бекьараду,рядом_ около_ поблизости>поблизости,
14,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
15,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
16,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
17,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
18,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
19,location_pp,,,,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
20,location_pp,,,,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
21,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
22,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
23,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
24,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
25,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
26,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
27,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
28,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
29,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
30,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
31,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
32,location_pp,,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
33,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
34,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
35,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
36,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
37,abstract_state_unpleasant,,,lat,,n,n,къвари́лъи,горе_ беда,
38,abstract_state_unpleasant,,,lat,,n,n,къвари́лъи,горе_ беда,
39,location_pp,between_contact_tight,motion towards (lat__term),lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
40,location_pp,between_contact_tight,prolative__prosecutive,prolat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
41,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
42,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
43,institution,,,lat,change of status __ into_new_period,n,n,регьи́н,брак,
44,event_unpleasant,,,lat,,n,n,бала́гь,зло_беда_несчастье,
45,location_pp,near,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
46,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
47,location_pp,inter_abstract,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
48,bodily_location,3D_contact,motion towards (lat__term),lat,,unclear,unclear,гъва́ркьи,подмышкой,
49,location_pp,near,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
50,unclear,,,,,n,n,гъогъо́ла,бутон_почки_цветов,
51,time_span,,,lat,manner_redupl,n,n,гьа́къу,неделя,
52,time_span,,,lat,manner_redupl,n,n,гьа́къу,неделя,
53,time_span,,,lat,manner_redupl,n,n,гьа́къу,неделя,
54,bodypart,in_hole,motion towards (lat__term),lat,,n,n,гьантIукIа,ухо,
55,location_pp_gravitational,,,lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
56,location_pp_gravitational,unclear,absence of movement,ess,,pp_adv<DEM,pp_adv,гьеа__гье,наверху__на,
57,toponym,,unclear,unclear,,n<pp_adv<DEM,n,Гьи́кьику,Нижний_Ботлих,
58,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
59,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
60,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
61,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
62,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
63,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
64,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
65,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
66,location_pp_gravitational,,path,path,,adv<DEM,adv,гьикьаду́,ниже,
67,location_pp_gravitational,,path,path,,adv<DEM,adv,гьикьаду́,ниже,
68,abstract_unpleasant,,,,unclear,unclear,unclear,гIакъу́ба,NA (обременение?),
69,location_pp,,,,add,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
70,geo,in_inside.location,motion towards (lat__term),lat,,n,n,а́хи,сад,
71,abstract_state_unpleasant,,,lat,,n,n,къвари́лъи,горе_ беда,
72,abstract_state_unpleasant,,,lat,,n,n,къвари́лъи,горе_ беда,
73,abstract_state_unpleasant,,,lat,,n,n,зив>зиивабалъи,день>дни,
74,abstract_state_unpleasant,,,lat,change of status __ into_new_period,n,n,къвари́лъи,горе_ беда,
75,location_pp,between_contact_tight,motion towards (lat__term),lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
76,event,,,lat,,n,n,кьвагьи,обстрел,
77,geo,on,unclear,unclear source,,n,n,кьу́ди,скала,
78,location_pp,near,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
79,location_pp,near,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
80,location_pp,between_contact_tight,motion towards (lat__term),lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
81,abstract,under (LOC),,lat,,n,n,налъи,долг_ то_ что берут взаймы,
82,location_pp,,motion towards (lat__term),lat,unclear,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
83,location_pp,,,lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
84,location_pp,,prolative__prosecutive,prosecutive,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
85,location_pp,around,prolative__prosecutive,prolat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
86,location_pp,around,prolative__prosecutive,prolat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
87,location_pp,around,prolative__prosecutive,prolat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
88,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
89,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
90,location_pp,in_room,motion towards (lat__term),lat,,pp_adv__n,pp_adv,бакьу__бакьи́,между_ среди__середина,
91,location_pp,,motion towards (lat__term),lat,,adv,adv,векьа́ру,рядом_ около_ поблизости,
92,geo,under (LOC),unclear,unclear,,n,n,реши́н,небо,
93,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
94,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
95,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
96,thread,under,,lat,,n,n,бе́рхин,удила_ вожжи_ повод,
97,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
98,geo,on,motion towards (lat__term),lat,,n,n,ми́къи,дорога,
99,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
100,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
101,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
102,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
103,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
104,geo,under (LOC),,,standard of comparison (0),n,n,реши́н,небо,
105,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
106,bodypart,,unclear,unclear,manner,n,n,гъва́ни,голова_ начало,
107,geo,under (LOC),,,target of sense perception,n,n,реши́н,небо,
108,location_pp_gravitational,near,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
109,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
110,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
111,location_pp_gravitational,,,unclear,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
112,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
113,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
114,location_pp_gravitational,,,unclear,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
115,location_pp_gravitational,,,lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
116,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
117,abstract_unpleasant,inter_abstract,,lat,unclear,n,n,гIайи́б,вина_ проступок_ провинность,
118,abstract,,,lat,transformation_result,n,n,закон,закон,
119,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
120,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
121,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
122,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
123,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
124,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
125,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
126,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
127,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
128,building_part_horiz,near,motion towards (lat__term),lat,,n,n,микъа́р (микъаракьи- на потолке),потолок (на потолке),
129,,,,,stimulus__motive,pp_adv<DEM,pp_adv,unclear,,
130,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
131,geo,under (LOC),motion towards (lat__term),lat,,n,n,реши́н,небо,
132,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
133,location_pp_gravitational,under_beneath_down,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
134,abstract_unpleasant,,,,,n,n,тами́хI,наказанье,
135,abstract_unpleasant,,,,,n,n,тами́хI,наказанье,
136,abstract_unpleasant,,,,,n,n,тами́хI,наказанье,
137,abstract_unpleasant,,,,,n,n,тами́хI,наказанье,
138,location_pp_gravitational,,motion towards (lat__term),lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
139,location_pp_gravitational,,motion towards (lat__term),lat,manner_redupl,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
140,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
141,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
142,location_pp_gravitational,,,lat,,pp_adv<DEM,pp_adv,гьикьи,внизу_ вниз_ под,
143,item,near,motion towards (lat__term),lat,,n,n,телепо́н,телефон,
144,institution,in_institution,,lat,,n,n,сутІ,суд,
145,event,,,lat,,n,n,къец,соревнование,
146,abstract,,,,standard of comparison (0),n,n,багьа́,цена,
147,event,,,,attr,n,n,кино́,кино_ фильм,
148,dexis,,,source,add,DEM,DEM,гьу,это,
149,deixis,,,source,add,DEM,DEM,гьу,это,
150,location_generic,in_inside.location,,ess,,n,n,бе́ххи,конец_ конечная часть,
151,location_generic,in_inside.location,,lat,,n,n,бе́ххи,конец_ конечная часть,
152,location_generic,in_inside.location,,ess,,n,n,бе́ххи,конец_ конечная часть,
153,location_generic,in_inside.location,,lat,unclear,n,n,бе́ххи,конец_ конечная часть,
154,location_generic,in_inside.location,,lat,unclear,n,n,бе́ххи,конец_ конечная часть,
155,location_generic,in_inside.location,,prolat ,manner_redupl,n,n,бе́ххи,конец_ конечная часть,
156,location_generic,in_inside.location,,lat ,unclear,n,n,бе́ххи,конец_ конечная часть,
157,toponym,in_inside.location,motion towards (lat__term),lat,attr,n,n,масква?,Москва,
158,item,in_inside.location,motion towards (lat__term),lat,,n,n,беше́н,гнездо_ постель,
159,container,in_container,motion towards (lat__term),lat,,n,n,чанта́,карман_ сума,
160,container,in_container,motion towards (lat__term),lat,,n,n,чанта́,карман_ сума,
161,abstract,,,,standard of comparison (0),n,n,багьа́,цена,
162,building,in_room,motion towards (lat__term),lat,,n,n,ба́ни,баня,
163,building_room,in_room,motion towards (lat__term),lat,,n,n,падва́л,подвал,
164,clothes,on,,path,,n_PL,n_PL,ба́рта(бартильи),брючина(брюки),
165,dexis,,,,,adv__DEM,adv,гьалълъа,здесь_ сюда,
166,text,inter_abstract,,lat,,n,n,газе́та ____газет,газета,
167,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ми́гъи,сад (большой)_обобщ. поля_ сады_ обрабатываемая земля,
168,building_room,in_room,motion towards (lat__term),lat,,n,n,амбулато́ри,амбулатория,
169,abstract_status,,,lat,change of status __ into_new_period,n,n,ацта́вка,отставка,
170,edge_narrow.space,near_contact,,lat,state,n,n,ба́й,край,
171,edge_narrow.space,near_contact,,,state,n,n,ба́й,край,
172,edge_narrow.space,near_contact,,lat,state,n,n,ба́й,край,
173,edge_narrow.space,near_contact,,lat,state,n,n,ба́й,край,
174,bodypart,near_contact__on_gravitation,motion towards (lat__term),lat,,n,n,ми́гъул,спина,
175,bodypart,near_contact__on_gravitation,motion towards (lat__term),lat,,n,n,ми́гъул,спина,
176,mass,,,lat,transformation_result,n,n,би́ччи,грязь,
177,bodypart,,,,manner__эталон сравнения?,n,n,га́ру,шея,
178,frames_holes_cracks,in_hole,motion towards (lat__term),lat,,n,n,баган,нора_ дыра_ отверстие_ щель,
179,abstract,,,lat,transformation_result,n,n,зако́н,закон,
180,dexis,,,,add,DEM,DEM,гьу,это,
181,location,in_inside.location,motion towards (lat__term),lat,,adv,adv,ре́лъи,на_дворе,
182,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ру́хьу,лес,
183,location,in_inside.location,motion towards (lat__term),lat,,n,n,куро́рт,курорт,
184,event,,,lat,,n,n,тиа́тир,театр,
185,mass,inter,motion towards (lat__term),lat,,n,n,би́ччи,грязь,
186,container_hole,in_inside.location,motion towards (lat__term),lat,,n,n,до́нги,яма,
187,location_generic,in,,lat,,n,n,на,вещь_предмет,
188,building,in_room,motion towards (lat__term),lat,,n,n,мина́,маленькое здание_ дом,
189,institution,in_institution,,lat,,n,n,институ́т,институт,
190,institution,,,lat,,n,n,комсомол?,комсомол,
191,institution,in_institution,,lat,,n,n,парти,партия,
192,event,,,lat,begin doing SMTH,n,n,рагъ,война_ бой_ фронт,
193,text,inter_abstract,,lat,,MSD,MSD,гу́латир,разговор_ речь,
194,unclear,,,,purpose?,n,n,разве́дка,разведка,
195,abstract_status,,,lat,change of status __ into_new_period,n,n,ханлъи́,власть,
196,dexis,,absence of movement,ess,,adv__DEM,adv,галълъа,там_ туда,
197,bodypart,,,,manner__эталон сравнения?,n,n,га́ру,шея,
198,bodypart,,,,manner__эталон сравнения?,n,n,га́ру,шея,
199,bodypart,,,,manner__эталон сравнения?,n,n,га́ру,шея,
200,bodypart,,,,manner__эталон сравнения?,n,n,га́ру,шея,
201,dexis,in_inside.location,source,source,,adv__DEM,adv,го=в,тот_ этот,
202,,,,,,,,unclear,,
203,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ми́гъи,сад (большой)_обобщ. поля_ сады_ обрабатываемая земля,
204,edge_narrow.space,near_contact,motion towards (lat__term),lat,,n,n,гъи́жи,бок,
205,edge_narrow.space,,motion towards (lat__term),lat,unclear (instrument?),n,n,гъи́жи,бок,
206,event,,,lat,,n,n,дарцц__дарц,урок,
207,container_hole,in_inside.location,motion towards (lat__term),lat,,n,n,до́нги,яма,
208,dexis,,,,add,DEM,DEM,гьу,это,
209,dexis,,,,add,DEM,DEM,гьу,это,
210,building_room,in_room,motion towards (lat__term),lat,,n,n,гьинкIу́ш,закром_ амбар,
211,building_room,in_room,motion towards (lat__term),lat,attr,n,n,гьинкIу́ш,закром_ амбар,
212,mass,,,,transformation_result,n,n,гьи́нцIа,камень,
213,mass,,,,transformation_result,n,n,гьи́нцIа,камень,
214,mass,,,,transformation_result,n,n,гьи́нцIа,камень,
215,abstract,inter_abstract,,lat,,n,n,гIу́мру,жизнь,
216,location_remote,,,lat,transformation_result,n,n,джуджахI,ад,
217,mass_abstract,inter_abstract,,lat,,n,n,дагІба́,спор,
218,mass_abstract,inter_abstract,,lat,,n,n,дагІба́,спор,
219,abstract,inter_abstract,,lat,unclear,n,n,къайда́ (къай),метод (утварь),
220,aggregate,inter,motion towards (lat__term),lat,,n,n,и́ша,стадо,
221,geo,in_inside.location,motion towards (lat__term),lat,,n,n,ми́гъи,сад (большой)_обобщ. поля_ сады_ обрабатываемая земля,
222,abstract,,,lat,transformation_result,n,n,капита́л,капитал?,
223,abstract,,,lat,transformation_result,n,n,капита́л,капитал?,
224,clothes,in_inside.location__ in_container,motion towards (lat__term),lat,,n,n,раъа́лъи,одежда,
225,geo,in_inside.location,motion towards (lat__term),lat,,n,n,регьаба́й,берег,
226,location,in_inside.location,motion towards (lat__term),lat,,n,n,куро́рт,курорт,
227,location,inter,,lat,,n,n,кьучІчІ,основание_ фундамент,
228,abstract_state_unpleasant,,,lat,transformation_result,n,n,лагьлъи́,рабство_ неволя,
229,abstract_state_unpleasant,,,lat,transformation_result,n,n,лагьлъи́,рабство_ неволя,
230,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
231,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
232,bodypart,in_hole,motion towards (lat__term),lat,manner,n,n,гьантIукIа,ухо,
233,measuring_unit,,,,manner,n,n,до́за,доза,
234,bodypart,in_hole,motion towards (lat__term),lat,,n,n,ми́ъар,нос,
235,abstract,,,lat,transformation_result,n,n,мо́да,мода,
236,abstract,,,lat,transformation_result,n,n,мо́да,мода,
237,building,in_inside.location,motion towards (lat__term),lat,,n,n,дача,дача,
238,abstract,inter_abstract,,unclear,unclear,n,n,му́хъи,аспект_ отношение,
239,container_dish,3D_contact_layer,motion towards (lat__term),lat ,,n,n,чагьиникI__ча́йникI,чайник,
240,event,,,lat,,n,n,о́тпуска,отпуск,
241,abstract_status,,,lat,change of status __ into_new_period,n,n,пе́нси,пенсия,
242,mass_abstract,inter_abstract,,lat,unclear,n,n,питна́,распря_ склока_ ссора_ скандал,
243,event,,,lat,,n,n,рагъ,война_ бой_ фронт,
244,event,,,,transformation_result,n,n,рагъ,война_ бой_ фронт,
245,mass,inter,motion towards (lat__term),lat,,n,n,чIчIе,доска,
246,building_room,in_room,motion towards (lat__term),lat,,n,n,зал,зал ,
247,building,in_room,motion towards (lat__term),lat,,n,n,мина́,маленькое здание_ дом,
248,container,in_container,motion towards (lat__term),lat,,n,n,чанта́,карман_ сума,
249,deixis,,,,add,DEM,DEM,гьу,это,
250,abstract_state_unpleasant,,,,cause -,n,n,су́ли,стыд,
251,abstract_state_unpleasant,,,,cause -,n,n,су́ли,стыд,
252,abstract_state_unpleasant,,,,cause -,n,n,су́ли,стыд,
253,abstract_state_unpleasant,,,,cause -,n,n,су́ли,стыд,
254,abstract_state_unpleasant,,,,cause -,n,n,су́ли,стыд,
255,unclear,,,lat,transformation_result,adj,adj,батIе́б,другой_ иной,
256,unclear,,,lat,transformation_result,n,n,чIо́ди,развалина,
257,mass,,,lat,transformation_result,n,n,хIукке́л,пар,
258,unclear,,,lat,transformation_result,adj,adj,батIе́б,другой_ иной,
259,animal,,,lat,transformation_result,n,n,са́ри,лис_ лисица,
260,mass,,,lat,transformation_result,n,n,за́ри,лёд,
261,abstract,,,,transformation_result,n,n,рукьи,любовь,
262,time_span,,,lat,manner_redupl,n,n,ссику́нд,секунда,
263,container,in_container,motion towards (lat__term),lat,,n,n,пучка́,бочка,
264,mass,inter,motion towards (lat__term),lat,,,,unclear,,
265,mass,inter,motion towards (lat__term),lat,,,,unclear,,
266,building_room,in_room,motion towards (lat__term),lat,,n,n,падва́л,подвал,
267,abstract,,,lat,transformation_result,n,n,хIаси́л,итог,
268,aggregate,inter,,lat,transformation_result,num,num,цеб,один,
269,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
270,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
271,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
272,abstract_sphere,inter_abstract,,lat,,n,n,гIе́лму,наука,
273,mass,inter,,lat,transformation_result,n,n,цIцIи́нтур,болото,
274,mass,inter,,lat,transformation_result,n,n,чака́р,сахар,
275,abstract_status,,,lat ,transformation_result?,n,n,даража́,уровень_ превосходство,
276,location_remote,in_inside.location,motion towards (lat__term),lat,,n,n,арджа́н,рай,
277,location_remote,in_inside.location,,ess,,n,n,арджа́н,рай,
278,institution,in_institution,,lat,,n,n,а́рми,армия,
279,institution,in_institution,,lat,,n,n,а́рми,армия,
280,institution,in_institution,,lat,,n,n,а́рми,армия,
281,institution,in_institution,,lat,,n,n,а́рми,армия,
282,abstract,,,,maths (transformation_result),num,num,кIе́да,два,
283,event,,,lat,,n,n,бе́ртин,свадьба,
284,event,in_personal.space (PRO),,lat,,n,n,бе́ртин,свадьба,
285,bodypart,in_hole,motion towards (lat__term),lat,,n,n,ми́ъар,нос,
286,aggregate,inter,motion towards (lat__term),lat,unclear,n,n,гъуни́,куча,
287,container_hole,in_inside.location,motion towards (lat__term),lat,,n,n,до́нги,яма,
288,bodypart,in_container,motion towards (lat__term),lat,,n,n,ре́ка,"живот_ желудок; утроба_ брюхо",
289,container_hole,in_inside.location,motion towards (lat__term),lat,,n,n,до́нги,яма,
290,toponym,in_inside.location,absence of movement__motion towards,ess__lat,,n,n,ссибир,Сибирь,
291,institution,,,lat,,n,n,сутI,суд,
292,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
293,transport,in_room,motion towards (lat__term),lat,,n,n,ваг(.)н,вагон,
294,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
295,abstract,,,lat,transformation_result?,n,n,йаша́в,жизнь,
296,event,,,lat,,n,n,пара́д,парад,
297,dexis,,,,unclear,DEM,DEM,гьу,это,
298,institution,in_institution,,lat,,n,n,йа́сли,ясли,
299,geo,in_inside.location,motion towards (lat__term),lat,,n,n,инти́р,"полынья; лёд_ который начал таять под водой",
300,institution,,,lat,,n,n,курс,курс,
301,abstract_state_unpleasant,,,lat,,n,n,къвари́лъи,горе_ беда,
302,abstract_state_unpleasant,,,lat,,n,n,къвари́лъи,горе_ беда,
303,geo_water,near_contact,motion towards (lat__term),lat,,n,n,и́нсса,река,
304,mass,inter,motion towards (lat__term),lat,,n,n,лълъе́ни,вода,
305,clothes_container,in_container,motion towards (lat__term),lat,,n,n,насси́р,обувь,
306,event,,,,transformation_result,n,n,рагъ,война_ бой_ фронт,
307,animal,,,lat,transformation_result,n,n,хIайва́н,животное,
308,text,,,lat,transformation_result,n,n,масхъа́ра,шутка,
309,unclear,,unclear,unclear,,,,unclear,,
310,abstract_status,,,lat,change of status __ into_new_period,n,n,учот_уччот,учёт,
311,bodypart__wrap,on.surface_as.defect,,path,manner,n,n,хъал,кожа.человека_ покров,
312,abstract,,,,,n,n,хIиса́б,математика_ арифметика,
313,mass,,,lat,transformation_result,n,n,хIукке́л,пар,
314,mass,,,lat,transformation_result,n,n,хIукке́л,пар,
315,mass,,,lat,transformation_result,n,n,хIукке́л,пар,
316,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
317,mass,inter,motion towards (lat__term),lat,,n,n,цIцIанй,соль,
