N_umber,Loc_cluster_IPA,Dir_IPA,Loc_cluster,Form,Sample_1,Source,Spatial
1037,unclear,ku,unclear,гьулълъаку,sample,SA,yes
1038,unclear,ku,unclear,гьулълъаку,х,SA,yes
1039,unclear,ku,unclear,гьулълъаку,х,SA,yes
1040,unclear,ku,unclear,гьулълъаку,х,SA,yes
1041,unclear,ku,unclear,гьулълъаку,х,SA,yes
1042,unclear,ku,unclear,гьулълъаку,х,SA,yes
1043,unclear,ku,unclear,гьулълъаку,sample,SA,no
1044,č,ku,чI,гьулълъичӀуку,sample,SA,no
1045,č,ku,чI,гьущучӀуку,sample,SA,no
1046,č,ku,чI,гьущучӀуку,sample,SA,no
1047,č,ku,чI,гьущучӀуку,sample,SA,no
1048,č,ku,чI,гьущучӀуку,sample,SA,unclear
1049,č,ku,чI,гӀагарлъичӀуку,sample,SA,yes
1050,ɬ,ku,лъ,гӀарадалъику,sample,SA,yes
1051,unclear,ku,unclear,гӀурхъеку,sample,SA,yes
1052,č,ku,чI,дандийавщучӀуку,sample,SA,no
1053,ɬ,ku,лъ,дарцилъику,sample,SA,no
1054,ɬː,ku,лълъ,джаргъуулълъуку,sample,SA,yes
1055,č,ku,чI,дичIуку,х,SA,no
1056,č,ku,чI,дичуку,sample,SA,no
1057,č,ku,чI,дичӀуку,sample,SA,no
1058,č,ku,чI,дичӀуку,х,SA,no
1059,č,ku,чI,дичӀуку,х,SA,no
1060,č,ku,чI,дичӀуку,sample,SA,no
1061,č,ku,чI,дичӀуку,sample,SA,no
1062,č,ku,чI,дичӀуку,sample,SA,no_POSS
1063,č,ku,чI,дичӀуку,sample,SA,yes
1064,č,ku,чI,дичӀуку,sample,SA,no
1065,č,ku,чI,дичӀуку,sample,SA,yes
1066,ɬː,ku,лълъ,долълъаку,sample,SA,yes
1067,č,ku,чI,дунелчӀуку,sample,SA,no
1068,χ,ku,х,духеку,х,SA,no_POSS
1069,č,ku,чI,дучӀуку,х,SA,no
1070,č,ku,чI,дучӀуку,х,SA,no
1071,č,ku,чI,дучӀуку,х,SA,no
1072,č,ku,чI,дучӀуку,х,SA,no
1073,č,ku,чI,дучӀуку,х,SA,no
1074,č,ku,чI,дучӀуку,sample,SA,yes__sense
1075,č,ku,чI,дучӀуку,sample,SA,no
1076,č,ku,чI,дучӀуку,sample,SA,no
1077,ɬ,ku,лъ,жилалъику,sample,SA,yes
1078,ɬ,ku,лъ,заралалъику,sample,SA,yes
1079,ɬː,ku,лълъ,игьуралълъуку,sample,SA,yes
1080,č,ku,чI,илучӀуку,sample,SA,no
1081,č,ku,чI,илӀичӀуку,sample,SA,no
1082,ɬː,ku,лълъ,интаралълъику,sample,SA,yes
1083,NA,ku,NA,инуку,х,SA,yes
1084,ɬ,ku,лъ,инххилъику,sample,SA,yes
1085,č,ku,чI,ирсичӀуку,sample,SA,no
1086,č,ku,чI,ирсичӀуку,х,SA,no
1087,č,ku,чI,ирсичӀуку,х,SA,no
1088,ɬ,ku,лъ,истаканалъику,sample,SA,yes
1089,ɬ,ku,лъ,истаканалъику,х,SA,yes
1090,unclear,ku,unclear,ишику,х,SA,yes
1091,unclear,ku,unclear,ишику,sample,SA,yes
1092,unclear,ku,unclear,ишику,х,SA,no_sense
1093,unclear,ku,unclear,ишику,х,SA,no_sense
1094,q,ku,хъ,ишхъеку,sample,SA,yes
1095,χ,ku,х,ищихеку,sample,SA,yes
1096,č,ku,чI,ищичӀуку,sample,SA,yes
1097,č,ku,чI,ищичӀуку,sample,SA,yes
1098,č,ku,чI,ищичӀуку,sample,SA,no_POSS
1099,ɬ,ku,лъ,кавулъику,sample,SA,yes
1100,č,ku,чI,какачIуку,sample,SA,yes
1101,ɬ,ku,лъ,каналалъику,sample,SA,yes
1102,ɬ,ku,лъ,кассалъику,sample,SA,yes
1103,ɬ,ku,лъ,кассалъику,х,SA,yes
1104,unclear,ku,unclear,квадуку,sample,SA,yes
1105,unclear,ku,unclear,квадуку,х,SA,yes
1106,unclear,ku,unclear,квадуку,х,SA,yes
1107,e,ku,е,кванареку,sample,SA,yes
1108,č,ku,чI,кунтӀучӀуку,sample,SA,no
1109,ɬ,ku,лъ,курушкалъику,sample,SA,yes
1110,χ,ku,х,къарумихеку,sample,SA,no_POSS
1111,ɬ,ku,лъ,къванчилъику,sample,SA,yes
1112,ɬː,ku,лълъ,къегьеналълъуку,sample,SA,yes
1113,ɬː,ku,лълъ,къегьеналълъуку,х,SA,yes
1114,χ,ku,х,къиндахику,sample,SA,yes
1115,ƛʼ,a,кь,гьикьа,sample,SA,yes
1116,e,ku,е,кьиреку,sample,SA,yes
1117,ɬ,ku,лъ,кӀамулъику,sample,SA,yes
1118,č,ku,чI,кӀатучӀуку,sample,SA,yes
1119,č,ku,чI,кӀвахӀалирчӀуку,sample,SA,no
1120,č,ku,чI,кӀвахӀалирчӀукула,sample,SA,no
1121,ɬ,ku,лъ,кӀичӀилъику,sample,SA,yes
1122,ɬ,ku,лъ,лагилъику,sample,SA,yes
1123,NA,ku,NA,лъайеку,sample,SA,no_metaph
1124,ɬ,ku,лъ,магърибалъику,sample,SA,yes
1125,č,ku,чI,маквасирчӀуку,sample,SA,no
1126,č,ku,чI,маквачӀуку,sample,SA,no
1127,č,ku,чI,макӀилучӀуку,sample,SA,no
1128,ɬ,ku,лъ,маркцулъику,sample,SA,yes
1129,ɬ,ku,лъ,марщулъику,sample,SA,yes
1130,ɬː,ku,лълъ,машкёлълъуку,sample,SA,yes
1131,ɬː,ku,лълъ,миаралълъуку,sample,SA,yes
1132,ɬː,ku,лълъ,миаралълъуку,х,SA,unclear
1133,χ,ku,х,миаргъванаххику,sample,SA,yes
1134,χ,ku,х,миаргъванаххику,sample,SA,yes
1135,χ,ku,х,миардахику,х,SA,yes
1136,χ,ku,х,миардахику,sample,SA,yes
1137,unclear,ku,unclear,микъаку,sample,SA,yes
1138,ƛʼ,ku,кь,микъаракьику,sample,SA,yes
1139,ƛʼ,ku,кь,микъаракьику,х,SA,yes
1140,ƛʼ,ku,кь,микъаракьику,х,SA,yes
1141,ƛʼ,ku,кь,микъаракьику,sample,SA,yes
1142,ƛʼ,ku,кь,микъаракьику,х,SA,yes
1143,ƛʼ,ku,кь,микъаракьику,sample,SA,yes
1144,e,ku,е,микъеку,sample,SA,yes
1145,e,ku,е,микъеку,sample,SA,no
1146,č,ku,чI,мунагьабалъичӀуку,sample,SA,no
1147,e,NA,е,мусе,sample,SA,yes
1148,e,ku,е,мусе-мусеку,х,SA,yes
1149,e,ku,е,мусе-мусеку,х,SA,yes
1150,e,ku,е,мусе-мусеку,х,SA,yes
1151,e,ku,е,мусеку,sample,SA,yes
1152,e,ku,е,мухеку,sample,SA,no_metaph
1153,e,ku,е,мухеку,х,SA,no_metaph
1154,e,ku,е,мухеку,х,SA,no_metaph
1155,e,ku,е,мухеку,х,SA,no_metaph
1156,e,ku,е,мухеку,х,SA,no_metaph
1157,e,ku,е,мухеку,х,SA,no_metaph
1158,č,ku,чI,мухучӀуку,х,SA,no_POSS
1159,č,ku,чI,мухучӀуку,sample,SA,no
1160,č,ku,чI,мучулачӀуку,sample,SA,no
1161,č,ku,чI,налъичӀуку,sample,SA,no
1162,č,ku,чI,падаркачӀуку,sample,SA,no
1163,ɬ,ku,лъ,пеленалъику,sample,SA,yes
1164,č,ku,чI,проектичӀуку,sample,SA,no
1165,ɬ,ku,лъ,пучкалъику,sample,SA,yes
1166,ɬ,ku,лъ,пучкалъику,sample,SA,yes
1167,ɬ,ku,лъ,рагъалалъуку,sample,SA,yes
1168,ɬ,ku,лъ,рагъилъику,sample,SA,yes
1169,χ,ku,х,ракӀва-ракӀвархику,sample,SA,no
1170,č,ku,чI,ракӀварчӀуку,sample,SA,unclear
1171,č,ku,чI,раххучӀуку,sample,SA,no
1172,NA,ku,NA,рахъидику,sample,SA,yes
1173,NA,ku,NA,рахъидику,sample,SA,no
1174,NA,ku,NA,рахъидику,х,SA,yes
1175,NA,ku,NA,рахъидику,sample,SA,yes
1176,NA,ku,NA,рахъидику,х,SA,yes
1177,ɬː,ku,лълъ,регьабулълъуку,sample,SA,yes
1178,ƛʼ,ku,кь,рекукьику,sample,SA,unclear
1179,ɬː,ku,лълъ,рехъиналълъуку,sample,SA,yes
1180,ɬ,ku,лъ,рехъиналъуку,sample,SA,yes
1181,ƛʼ,ku,кь,решинакьику,sample,SA,yes
1182,ɬ,ku,лъ,румкалъику,sample,SA,yes
1183,ɬ,ku,лъ,рухьулъику,sample,SA,yes
1184,e,ku,е,рушеку,sample,SA,yes
1185,č,ku,чI,рушибалъичӀуку,sample,SA,yes
1186,č,ku,чI,рушичӀуку,sample,SA,yes
1187,ɬ,ku,лъ,самаварилъику,sample,SA,yes
1188,unclear,ku,unclear,ссеаку,sample,SA,yes
1189,unclear,ku,unclear,ссеаку,х,SA,yes
1190,unclear,ku,unclear,ссеаку,х,SA,yes
1191,unclear,ku,unclear,ссеаку,х,SA,yes
1192,unclear,ku,unclear,ссеаку,х,SA,yes
1193,unclear,ku,unclear,ссеаку,х,SA,yes
1194,unclear,ku,unclear,ссеаку,sample,SA,yes
1195,unclear,ku,unclear,ссеаку,х,SA,yes
1196,unclear,ku,unclear,ссеаку,sample,SA,yes
1197,ɬ,ku,лъ,телепоналъику,sample,SA,no
1198,ɬ,ku,лъ,томонгилъику,sample,SA,yes
1199,e,ku,е,туканеку,sample,SA,yes
1200,e,ku,е,туканеку,х,SA,yes
1201,ɬ,ku,лъ,туснахъалъику,sample,SA,no_metaph
1202,ɬː,ku,лълъ,туснахъалълъуку,х,SA,no_metaph
1203,ɬː,ku,лълъ,туснахъалълъуку,х,SA,no_metaph
1204,č,ku,чI,тӀамирачӀуку,sample,SA,no
1205,unclear,ku,unclear,удуку,sample,SA,yes
1206,unclear,ku,unclear,удуку,х,SA,yes
1207,unclear,ku,unclear,удуку,х,SA,yes
1208,unclear,ku,unclear,удуку,х,SA,no_sense
1209,unclear,ku,unclear,удуку,х,SA,yes
1210,č,ku,чI,унсучӀуку,sample,SA,yes
1211,ɬ,ku,лъ,унщилъику,sample,SA,yes
1212,NA,ku,NA,уруку,sample,SA,yes
1213,χ,ku,х,устарахеку,sample,SA,no
1214,unclear,ku,unclear,хеаку,sample,SA,yes
1215,č,ku,чI,хъизаначӀуку,sample,SA,yes
1216,e,ku,е,хъупиреку,sample,SA,yes
1217,ɬ,ku,лъ,хъучилъику,х,SA,no
1218,ɬː,ku,лълъ,хьагилълъуку,sample,SA,yes
1219,ɬː,ku,лълъ,хьагилълъуку,х,SA,yes
1220,e,ku,е,хӀеджеку,sample,SA,no
1221,č,ku,чI,хӀукмучӀуку,sample,SA,no
1222,χ,ku,х,цӀекӀабахику,sample,SA,yes
1223,ƛʼ,ku,кь,цӀцӀалакьику,sample,SA,no
1224,ƛʼ,a,кь,дордолакьа,sample,SA,yes
1225,č,ku,чI,цӀцӀалачӀуку,sample,SA,no
1226,ɬː,ku,лълъ,чайникӀилълъуку,sample,SA,yes
1227,ɬː,ku,лълъ,чанталълъуку,sample,SA,yes
1228,ɬː,ku,лълъ,чанталълъуку,х,SA,yes
1229,ɬː,ku,лълъ,чердакалълъуку,sample,SA,no_sense
1230,χ,ku,х,чӀабарахику,sample,SA,yes
1231,χ,ku,х,чӀеркӀвахику,sample,SA,yes
1232,χ,ku,х,чӀеркӀвахику,sample,SA,yes
1233,ƛʼ,a,кь,гьикьа,sample,SA,yes
1234,NA,ku,NA,чӀчӀидуку,sample,SA,no_sense
1235,NA,ku,NA,чӀчӀидуку,sample,SA,yes
1236,NA,ku,NA,чӀчӀидуку,х,SA,no_sense
1237,χ,ku,х,чӀчӀидурахику,х,SA,no_sense
1238,χ,ku,х,чӀчӀидурахику,sample,SA,no_sense
1239,χ,ku,х,чӀчӀидурахику,х,SA,no_sense
1240,χ,ku,х,чӀчӀидурахику,sample,SA,no
1241,χ,ku,х,чӀчӀидурахику,х,SA,no_sense
1242,mix,ku,mix,бе́кьарукучІа,sample,AA,unclear
1243,mix,ku,mix,бе́кьарукучІа,х,AA,unclear
1244,unclear,ku,unclear,бесхъе́кула,х,AA,no_sense
1245,NA,ku,NA,векьару́ку,sample,AA,unclear
1246,NA,ku,NA,гьади́ку,х,AA,unclear
1247,NA,ku,NA,гьа́дику,х,AA,yes
1248,NA,ku,NA,рекьару́ку,sample,AA,yes
1249,NA,ku,NA,рессхъе́ку,sample,AA,yes
1250,NA,ku,NA,а́раку (уда́ку-а́раку),sample,AA,yes
1251,NA,ku,NA,ару́ку,sample,AA,yes
1252,NA,ku,NA,ба́кьуку,sample,AA,no
1253,NA,ku,NA,ба́кьуку,х,AA,yes
1254,NA,ku,NA,ба́кьуку,х,AA,yes
1255,NA,ku,NA,ба́кьуку,sample,AA,unclear
1256,NA,ku,NA,ба́кьуку,х,AA,yes
1257,unclear,ku,unclear,бесхъе́ку,sample,AA,yes 
1258,NA,ku,NA,бехъу́тІуку,sample,AA,yes
1259,NA,ku,NA,ва́кьуку,х,AA,no
1260,NA,ku,NA,ва́кьуку,х,AA,yes
1261,NA,ku,NA,ва́кьуку,х,AA,no
1262,unclear,ku,unclear,гьēку,х,AA,no
1263,unclear,ku,unclear,гьēкуссул,х,AA,yes
1264,unclear,ku,unclear,гье́ку,sample,AA,yes
1265,unclear,ku,unclear,гье́ку,х,AA,yes
1266,unclear,ku,unclear,гье́ку,х,AA,yes
1267,unclear,ku,unclear,гье́ку,sample,AA,yes
1268,unclear,ku,unclear,гье́ку,sample,AA,yes
1269,unclear,ku,unclear,гье́ку,sample,AA,yes
1270,unclear,ku,unclear,гье́ку,sample,AA,yes
1271,unclear,ku,unclear,гье́ку,х,AA,no
1272,unclear,ku,unclear,гье́ку,х,AA,no
1273,unclear,ku,unclear,гье́ку,х,AA,no
1274,unclear,ku,unclear,гье́ку,х,AA,no
1275,unclear,ku,unclear,гье́ку,sample,AA,no
1276,unclear,ku,unclear,гье́ку,х,AA,no
1277,unclear,ku,unclear,гье́ку,х,AA,no
1278,unclear,ku,unclear,гье́ку,sample,AA,no
1279,unclear,ku,unclear,гье́ку,х,AA,no
1280,unclear,ku,unclear,гье́ку,х,AA,no
1281,unclear,ku,unclear,гье́ку,sample,AA,no
1282,unclear,ku,unclear,гье́ку,х,AA,no
1283,unclear,ku,unclear,гье́ку,х,AA,no
1284,unclear,ku,unclear,гье́ку,х,AA,no
1285,unclear,ku,unclear,гье́ку,sample,AA,no
1286,unclear,ku,unclear,гье́ку,х,AA,no
1287,unclear,ku,unclear,гье́ку,sample,AA,no
1288,unclear,ku,unclear,гье́ку,х,AA,no
1289,unclear,ku,unclear,гье́ку,х,AA,no
1290,unclear,ku,unclear,гье́ку,х,AA,no
1291,unclear,ku,unclear,гье́ку,sample,AA,yes
1292,unclear,ku,unclear,гье́ку,х,AA,yes
1293,unclear,ku,unclear,гье́ку,sample,AA,yes&no
1294,unclear,ku,unclear,гье́ку,х,AA,no
1295,unclear,ku,unclear,гье́ку,х,AA,yes
1296,unclear,ku,unclear,гье́ку,sample,AA,yes
1297,unclear,ku,unclear,гье́ку,х,AA,no
1298,unclear,ku,unclear,гье́ку,sample,AA,yes
1299,unclear,ku,unclear,гье́ку,х,AA,yes
1300,unclear,ku,unclear,гье́ку,sample,AA,no
1301,unclear,ku,unclear,гье́ку,sample,AA,yes
1302,unclear,ku,unclear,гье́ку,sample,AA,yes
1303,unclear,ku,unclear,гье́ку,х,AA,unclear
1304,unclear,ku,unclear,гье́ку,х,AA,unclear
1305,unclear,ku,unclear,гье́ку,х,AA,unclear
1306,unclear,ku,unclear,гье́ку,х,AA,unclear
1307,unclear,ku,unclear,гье́ку,х,AA,unclear
1308,unclear,ku,unclear,гье́ку,sample,AA,unclear
1309,unclear,ku,unclear,гье́ку,sample,AA,unclear
1310,unclear,ku,unclear,гье́ку,х,AA,unclear
1311,unclear,ku,unclear,гье́ку,х,AA,unclear
1312,unclear,ku,unclear,гье́ку,х,AA,yes
1313,unclear,ku,unclear,гье́ку,х,AA,unclear
1314,unclear,ku,unclear,гье́ку,х,AA,unclear
1315,unclear,ku,unclear,гье́ку,х,AA,unclear
1316,unclear,ku,unclear,гье́ку,sample,AA,no
1317,unclear,ku,unclear,гье́ку,х,AA,unclear
1318,unclear,ku,unclear,гье́ку,х,AA,unclear
1319,unclear,ku,unclear,гье́ку,х,AA,unclear
1320,unclear,ku,unclear,гье́ку,х,AA,unclear
1321,unclear,ku,unclear,гье́ку,sample,AA,unclear
1322,unclear,ku,unclear,гье́ку,sample,AA,unclear
1323,unclear,ku,unclear,гье́ку,х,AA,unclear
1324,unclear,ku,unclear,гье́ку,х,AA,unclear
1325,unclear,ku,unclear,гье́ку,sample,AA,yes
1326,unclear,ku,unclear,гье́ку,х,AA,yes
1327,unclear,ku,unclear,гье́ку,х,AA,unclear
1328,unclear,ku,unclear,гье́ку,sample,AA,unclear
1329,unclear,ku,unclear,гье́ку,х,AA,yes
1330,unclear,ku,unclear,гье́ку,х,AA,yes
1331,unclear,ku,unclear,гье́ку,sample,AA,yes
1332,unclear,ku,unclear,гье́ку,х,AA,no
1333,ƛʼ,ku,кь,гьикьаду́ку,х,AA,yes
1334,NA,ku,NA,гьи́кьибалъику,sample,AA,unclear
1335,NA,ku,NA,гьи́кьибалъику(да),х,AA,unclear
1336,NA,ku,NA,гьи́кьибалъикуда,х,AA,unclear
1337,ƛʼ,ku,кь,гьикьи́ку,sample,AA,unclear
1338,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1339,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1340,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1341,ƛʼ,ku,кь,гьикьи́ку,х,AA,yes
1342,ƛʼ,ku,кь,гьикьи́ку,sample,AA,no
1343,ƛʼ,ku,кь,гьикьи́ку,sample,AA,no
1344,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1345,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1346,ƛʼ,ku,кь,гьикьи́ку,sample,AA,unclear_yes
1347,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1348,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1349,ƛʼ,ku,кь,гьикьи́ку,х,AA,yes
1350,ƛʼ,ku,кь,гьикьи́ку,х,AA,yes
1351,ƛʼ,ku,кь,гьикьи́ку,sample,AA,no
1352,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1353,ƛʼ,ku,кь,гьикьи́ку,х,AA,
1354,ƛʼ,ku,кь,гьикьи́ку,sample,AA,unclear_yes
1355,ƛʼ,ku,кь,гьикьи́ку,sample,AA,yes
1356,ƛʼ,ku,кь,гьикьи́ку,х,AA,yes
1357,ƛʼ,ku,кь,гьикьи́ку,х,AA,yes
1358,ƛʼ,ku,кь,гьикьи́ку,х,AA,yes
1359,ƛʼ,ku,кь,гьикьи́ку,sample,AA,no
1360,ƛʼ,ku,кь,гьикьи́куда,х,AA,
1361,NA,ku,NA,гьинуку́,sample,AA,yes
1362,NA,ku,NA,гьину́ку,sample,AA,yes
1363,NA,ku,NA,гьину́ку,sample,AA,yes
1364,NA,ku,NA,гьину́ку,х,AA,yes
1365,NA,ku,NA,гьину́ку,х,AA,yes
1366,NA,ku,NA,гьину́ку,sample,AA,yes
1367,NA,ku,NA,гьи́нуку,sample,AA,yes
1368,NA,ku,NA,гьи́нуку,х,AA,yes
1369,NA,ku,NA,гьинуку́да,sample,AA,no
1370,NA,ku,NA,гьину́куда,х,AA,no
1371,NA,ku,NA,гьи́нукуда,х,AA,no
1372,unclear,ku,unclear,гьу́ндуку,х,AA,unclear
1373,NA,ku,NA,ину́ку,х,AA,yes
1374,NA,ku,NA,инукукІва́ла,х,AA,yes
1375,NA,ku,NA,инукула́,х,AA,yes
1376,NA,ku,NA,инукулъила́,х,AA,yes
1377,NA,ku,NA,инукухва́ла,х,AA,yes
1378,NA,ku,NA,инукухва́ла,х,AA,yes
1379,unclear,ku,unclear,ишику,х,AA,yes
1380,unclear,ku,unclear,квадуку,sample,AA,unclear
1381,unclear,ku,unclear,квадуку,х,AA,yes
1382,unclear,ku,unclear,квадуку,х,AA,yes
1383,unclear,ku,unclear,квадуку,х,AA,yes
1384,unclear,ku,unclear,квадуку,х,AA,yes
1385,NA,ku,NA,о́рссуку,sample,AA,yes
1386,NA,ku,NA,о́рссуку,х,AA,yes
1387,NA,ku,NA,о́рссуку,х,AA,unclear
1388,NA,ku,NA,о́рссуку,х,AA,yes
1389,NA,ku,NA,о́рссуку,sample,AA,yes
1390,unclear,ku,unclear,ссеку,х,AA,unclear
1391,unclear,ku,unclear,ссеку,х,AA,no
1392,unclear,ku,unclear,ссеку,х,AA,yes
1393,unclear,ku,unclear,ссеку,х,AA,yes
1394,unclear,ku,unclear,ссеку,х,AA,unclear
1395,unclear,ku,unclear,ссеку,х,AA,yes
1396,unclear,ku,unclear,ссеку,х,AA,unclear
1397,unclear,ku,unclear,ссеку,х,AA,unclear
1398,unclear,ku,unclear,ссеку,х,AA,unclear
1399,unclear,ku,unclear,ссеку́да,х,AA,yes
1400,NA,ku,NA,уда́ку,х,AA,yes
1401,NA,ku,NA,уда́ку,х,AA,yes
1402,NA,ku,NA,уда́ку,х,AA,yes
1403,NA,ku,NA,уда́ку,sample,AA,yes
1404,NA,ku,NA,уда́ку,sample,AA,yes
1405,NA,ku,NA,уда́ку,х,AA,yes
1406,NA,ku,NA,уда́ку,х,AA,yes
1407,NA,ku,NA,уда́ку,sample,AA,yes
1408,NA,ku,NA,уда́ку,sample,AA,yes
1409,NA,ku,NA,уда́ку,х,AA,unclear
1410,NA,ku,NA,у́даку,х,AA,yes
1411,NA,ku,NA,удаку-араку,х,AA,yes
1412,NA,ku,NA,уда́ку-ара́ку,sample,AA,yes
1413,NA,ku,NA,уда́ку-а́раку,sample,AA,yes
1414,NA,ku,NA,уда́ку-ара́ку ,sample,AA,yes
1415,NA,ku,NA,уда́ку-ара́ку ,х,AA,yes
1416,unclear,ku,unclear,хе́ку,х,AA,unclear
1417,unclear,ku,unclear,хе́ку,sample,AA,no
1418,unclear,ku,unclear,хе́ку,х,AA,no
1419,unclear,ku,unclear,гьēкуку,sample,AA,yes
1420,unclear,ku,unclear,квадуку,х,AA,yes
1421,unclear,ku,unclear,ми́къаку,sample,AA,no_metaph
1422,unclear,ku,unclear,ми́къаку,sample,AA,no
1423,unclear,ku,unclear,ми́къаку,х,AA,no_metaph
1424,unclear,ku,unclear,ми́къаку,х,AA,no_metaph
1425,unclear,ku,unclear,ми́къаку,sample,AA,yes
1426,unclear,ku,unclear,муса́ку,sample,AA,no
1427,NA,ku,NA,савлухъалда́ку,sample,AA,unclear
1428,NA,ku,NA,ссапаралда́ку,sample,AA,no
1429,unclear,ku,unclear,туснхъалда́ку,х,AA,no_metaph
1430,NA,ku,NA,шагьаралда́ку,sample,AA,yes
1431,NA,ku,NA,рахъи́дику,sample,AA,yes
1432,NA,ku,NA,ра́хъидику,х,AA,yes
1433,NA,ku,NA,ми́къидуку,sample,AA,no
1434,e,ku,е,база́реку,sample,AA,yes
1435,e,ku,е,бекIунеку,sample,AA,yes
1436,e,ku,е,гIе́леку,х,AA,no
1437,e,ku,е,гьа́нкъеку,х,AA,yes
1438,e,ku,е,гьа́нкъеку,х,AA,yes
1439,unclear,ku,unclear,гьущу́йеку,sample,AA,no
1440,e,ku,е,дуне́леку,sample,AA,yes 
1441,e,ku,е,и́знуйеку,sample,AA,no
1442,e,ku,е,къватІеку,sample,AA,yes
1443,NA,ku,NA,лъа́еку,sample,AA,no_metaph
1444,NA,ku,NA,лъа́еку,sample,AA,no_metaph
1445,NA,ku,NA,лъа́еку,х,AA,no_metaph
1446,NA,ku,NA,лъа́еку,х,AA,no_metaph
1447,NA,ku,NA,лъа́еку,sample,AA,no_metaph
1448,NA,ku,NA,лъа́еку,х,AA,no_metaph
1449,e,ku,е,ма́кьеку,sample,AA,no_metaph
1450,e,ku,е,мигьуреку,sample,AA,yes
1451,e,ku,е,ракІва́реку,sample,AA,yes
1452,e,ku,е,цІе́кІеку,sample,AA,yes 
1453,e,ku,е,байдане́ку,sample,AA,yes
1454,e,ku,е,бужире́ку,sample,AA,no
1455,e,ku,е,гъурде́ку,sample,AA,yes 
1456,e,ku,е,гьанкъе́ку,х,AA,yes
1457,e,ku,е,гьанкъе́ку,sample,AA,yes
1458,e,ku,е,гьингуре́ку,sample,AA,yes
1459,e,ku,е,законе́ку,х,AA,no
1460,e,ku,е,зама-замане́ку,sample,AA,no_time
1461,q,ku,хъ,ишхъе́ку,х,AA,yes
1462,e,ku,е,кьире́ку,sample,AA,yes
1463,e,ku,е,микъе́ку,х,AA,no
1464,e,ku,е,муси-мусе́ку,sample,AA,yes
1465,NA,NA,NA,муси-мусе́ку,sample,AA,yes
1466,e,ku,е,мухеку,х,AA,no_metaph
1467,e,ku,е,мухеку,х,AA,no_metaph
1468,e,ku,е,мухеку,х,AA,no_metaph
1469,e,ku,е,мухеку,х,AA,no_metaph
1470,e,ku,е,мухе́кугучІаб,sample,AA,no_metaph
1471,e,ku,е,осторе́ку,sample,AA,yes
1472,e,ku,е,ракІваре́ку,sample,AA,no_metaph
1473,e,ku,е,руше́ку,sample,AA,yes
1474,e,ku,е,чIчIидуре́ку,sample,AA,no_sense
1475,e,ku,е,чIчIидуре́ку,х,AA,no_sense
1476,e,ku,е,чIчIидуре́ку,х,AA,no_sense
1477,e,ku,е,чІчІидуре́ку,sample,AA,unclear
1478,NA,ku,NA,гьади́ку,х,AA,yes
1479,ƛʼ,ku,кь,гьа́рдукьику,х,AA,no_sense
1480,ƛʼ,ku,кь,гьа́рдукьику,sample,AA,no_sense
1481,ƛʼ,ku,кь,жава́бакьику,sample,AA,no
1482,ƛʼ,ku,кь,къвари́лъикьику,х,AA,no
1483,ƛʼ,ku,кь,къвари́лъикьику,sample,AA,no
1484,mix,ku,mix,къвари́лъичIукьику,sample,AA,no
1485,ƛ,ku,лI,видра́лIуку,sample,AA,yes
1486,ƛ,ku,лI,бешеналIу́ку,sample,AA,yes
1487,ƛ,ku,лI,падвалалIу́ку,sample,AA,yes
1488,ƛ,ku,лI,букІабу́лІуку,х,AA,unclear
1489,ƛ,ku,лI,букІабу́лІуку,sample,AA,unclear
1490,ƛ,ku,лI,миъара́лІуку,sample,AA,unclear
1491,ɬ,ku,лъ,автаматилъику,sample,AA,yes
1492,ɬ,ku,лъ,а́рмилъику,х,AA,no_metaph
1493,ɬ,ku,лъ,а́рмилъику,х,AA,no_metaph
1494,ɬ,ku,лъ,ба́йбалъику,sample,AA,yes
1495,ɬ,ku,лъ,ба́йлъику,sample,AA,no
1496,ɬ,ku,лъ,гьа́нкъкулъику,sample,AA,yes
1497,ɬ,ku,лъ,и́нссалъику,sample,AA,yes 
1498,ɬ,ku,лъ,кIартIу́лъику,sample,AA,yes
1499,ɬ,ku,лъ,ко́милъику,sample,AA,yes
1500,ɬ,ku,лъ,ми́ардалъику,sample,AA,yes
1501,ɬ,ku,лъ,мо́далъику,sample,AA,no
1502,ɬ,ku,лъ,на́цIцIалъику,sample,AA,yes
1503,ɬ,ku,лъ,на́цIцIалъику,sample,AA,no
1504,ɬ,ku,лъ,пе́леналъику,х,AA,yes
1505,ɬ,ku,лъ,пи́крулъику,sample,AA,no_metaph
1506,ɬ,ku,лъ,рагъилъику,sample,AA,yes
1507,ɬ,ku,лъ,рагъилъику,х,AA,yes
1508,ɬ,ku,лъ,ра́дивалъику,sample,AA,no_sense
1509,ɬ,ku,лъ,ра́дивалъику,sample,AA,no_sense
1510,ɬ,ku,лъ,ссе́кундалъику,sample,AA,no_time
1511,ɬ,ku,лъ,хху́нххулалъику,sample,AA,no
1512,ɬ,ku,лъ,хху́нххулалъику,х,AA,no
